Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
"SENIOR REACT NATIVE ENGINEER - AFTERPAY, CASH APP",CASH APP,"WATERLOO, ON",139063.0,176085.0,2023-10-04,2023-10-18
SENIOR SOFTWARE ENGINEER (API/JAVA),SUN LIFE,"WATERLOO, ON",,,2023-10-04,2023-11-01
MASTER DATA MANAGEMENT - DATA/PROCESS ANALYST,OPENTEXT,"WATERLOO, ON",86934.0,110077.0,2023-10-04,2023-11-22
INFRASTRUCTURE CLOUD ARCHITECT,APPLYBOARD,"KITCHENER, ON",108484.0,137365.0,2023-10-04,2023-11-22
SR. CLIENT MANAGER,OPEN TEXT CORPORATION,"WATERLOO, ON",83619.0,105881.0,2023-10-04,2023-10-18
SR. ITSM ANALYST - SMAX,OPEN TEXT CORPORATION,"WATERLOO, ON",66904.0,84716.0,2023-10-04,2023-10-11
SENIOR MONITORING SPECIALIST (SITESCOPE),OPEN TEXT CORPORATION,"WATERLOO, ON",77886.0,98621.0,2023-10-04,2023-10-11
SR. SOFTWARE DEVELOPER,OPEN TEXT CORPORATION,"WATERLOO, ON",95129.0,120454.0,2023-10-04,2023-11-08
SR. SITE RELIABILITY ADMINISTRATOR,OPEN TEXT CORPORATION,"WATERLOO, ON",97291.0,123192.0,2023-10-04,2023-11-22
LEAD TECHNOLOGY RISK & DISASTER RECOVERY ANALYST(WORKERS COUNCIL),OPEN TEXT CORPORATION,"WATERLOO, ON",66057.0,83643.0,2023-10-04,2023-10-11
PRINCIPAL NETWORK SPECIALIST,OPENTEXT,"WATERLOO, ON",76996.0,97494.0,2023-10-04,2023-11-01
BUSINESS DEVELOPMENT SPECIALIST,BICDROID INC.,"WATERLOO, ON",64477.0,81642.0,2023-10-04,2023-11-22
SOFTWARE DEVELOPMENT TEAM LEAD,RWDI,"GUELPH, ON",112306.0,142204.0,2023-10-04,2023-10-11
SENIOR SOFTWARE ARCHITECT,DEJERO LABS INC.,"WATERLOO, ON",97782.0,123813.0,2023-10-04,2023-11-22
WEB DEVELOPER II (AEM ARCHITECT),BLACKBERRY,"WATERLOO, ON",83601.0,105858.0,2023-10-04,2023-11-15
"CLOUD TECHNICAL SOLUTIONS DEVELOPER, BILLING",GOOGLE,"WATERLOO, ON",,,2023-10-04,2023-10-18
SOFTWARE DEVELOPER - BACKEND,GREEN BRICK LABS,"KITCHENER, ON",50677.0,64169.0,2023-10-04,2023-11-22
SOFTWARE DEVELOPER (ANGULAR),DESCARTES,"WATERLOO, ON",80088.0,101409.0,2023-10-04,2023-11-01
WEB DEVELOPER,QPROVIBE INC.,"WATERLOO, ON",,,2023-10-04,2023-10-04
SOFTWARE TEST AUTOMATION ENGINEER,NICOYA,"KITCHENER, ON",95059.0,120366.0,2023-10-04,2023-10-25
SOFTWARE DEVELOPER (.NET),DESCARTES,"WATERLOO, ON",82147.0,104016.0,2023-10-04,2023-10-11
WEB DEVELOPER,UNIVERSITY OF WATERLOO,"WATERLOO, ON",83252.0,105416.0,2023-10-04,2023-10-18
SOFTWARE DEVELOPER,BROCK SOLUTIONS,"KITCHENER, ON",85753.0,108582.0,2023-10-04,2023-11-22
LEAD SOFTWARE DEVELOPER,EUNA SOLUTIONS,"KITCHENER, ON",119935.0,151864.0,2023-10-04,2023-10-11
INTERMEDIATE SOFTWARE DEVELOPER,GEOTAB,"WATERLOO, ON",89506.0,113334.0,2023-10-04,2023-10-25
SOFTWARE DEVELOPER,BICDROID INC.,"WATERLOO, ON",60513.0,76623.0,2023-10-04,2023-11-22
FULL STACK DEVELOPER - FRONT END FOCUS,ELEVEN-X,"WATERLOO, ON",83816.0,106130.0,2023-10-04,2023-10-04
SOFTWARE ENGINEER COOP/INTERN,SANDVINE,"WATERLOO, ON",102710.0,130054.0,2023-10-04,2023-11-15
SOFTWARE ENGINEER (FRONT END WEB APPLICATION - ANGULAR),POWER TAKEOFF,"KITCHENER, ON",,,2023-10-04,2023-10-11
"STAFF SOFTWARE DEVELOPER, GOOGLE CLOUD",GOOGLE,"WATERLOO, ON",,,2023-10-04,2023-10-04
"SOFTWARE ENGINEERING MANAGER, GROUP BENEFITS",MANULIFE,"WATERLOO, ON",88645.0,112244.0,2023-10-04,2023-11-08
SOFTWARE DEVELOPER,CANADIAN SOLAR,"GUELPH, ON",93642.0,118572.0,2023-10-04,2023-10-04
INTERMEDIATE C++ SOFTWARE DEVELOPER – INTEGRATED MEDIA BLOCK,CHRISTIE DIGITAL SYSTEMS INC.,"KITCHENER, ON",87571.0,110884.0,2023-10-04,2023-11-01
FULL STACK DEVELOPER,"CLOUD DX, INC.","KITCHENER, ON",84746.0,107308.0,2023-10-04,2023-11-22
JAVA ENGINEER (BACKEND),PROSPECT,"WATERLOO, ON",75154.0,95162.0,2023-10-04,2023-10-11
